"Product Id","Product Type","Collection Titles","Product Tags","Product Title","Product Description (Plain Text)","Product Category","Product Handle","Product Created At","Product Published At","Product Image","Variant Id","Variant Title","Variant Sku","Variant Inventory Quantity","Variant Option1","Variant Option2","Variant Option3","Variant Option1 Value","Variant Option2 Value","Variant Option3 Value","Variant Image"
1304251695224,Pens,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,"Strawberry Patch","A glossy white barrel with a wild strawberry print, a blend of crystals in strawberry shades, and a strawberry gem on top. Silver hardware.",Pens,strawberry-patch-silver-vip-exclusive,2018-07-11T21:26:13Z,,https://cdn.shopify.com/s/files/1/0694/3771/products/pen-strawberry-patch-silver-vip-exclusive-1.jpg?v=1548085094,12116975976568,"Strawberry Patch",SG101,0,Title,,,Default,,,
2095698182198,Pens,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,"Party Girl","Party Girl has a sparkling white enamel barrel, a colorful blend of crystals, and black hardware with a color-shifting rainbow gem on top.
 ",Pens,party-girl-techno-collection,2019-05-01T23:11:48Z,,"https://cdn.shopify.com/s/files/1/0694/3771/products/pen-party-girl-techno-1.jpg?v=1626311302, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-party-girl-techno-2_1edaf2db-911f-4ed7-8faf-00e95c234e13.jpg?v=1626311303, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-party-girl-techno-2.jpg?v=1626311302, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-party-girl-techno-3.jpg?v=1626311302, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-party-girl-techno-4.jpg?v=1626311302",20278247260214,"Party Girl",LE41,0,Title,,,"Default Title",,,
9817352065,Pens,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens","berrylicious,hall-of-fame",Blackberry,"SOLD OUT
Each pen comes with black ink with a standard medium ballpoint cartridge. We'll also send an extra standard cartridge for every pen.",Pens,blackberry-signature-crystal-pen,2017-07-06T03:42:31Z,,https://cdn.shopify.com/s/files/1/0694/3771/products/pen-blackberry-berrylicious-limited-edition-1.jpg?v=1518129093,36252670913,Blackberry,SG60,0,Title,,,Default,,,
758395240568,Pens,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,"Wildflower Silver","A glossy white barrel covered in wildflowers and butterflies, topped with a blend of pastel crystals and silver hardware.",Pens,wildflower-silver,2018-04-27T19:06:55Z,,https://cdn.shopify.com/s/files/1/0694/3771/products/pen-wildflower-silver-limited-edition-1.jpg?v=1530414621,8126657200248,"Wildflower Silver",SG85,0,Title,,,Default,,,
10324481857,Pens,"OrderlyEmails - Recommended Products, Silver, Stocking Stuffers, Shop by Color, Shop by Metal, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,"Merci, Paris","A blend of crystals in soft shades of lavender, periwinkle, and gray on a lilac metallic barrel, topped with an iridescent lavender and blue aurora crystal and finished with silver hardware.",Pens,merci-paris-signature-crystal-pen,2017-10-18T17:55:12Z,,"https://cdn.shopify.com/s/files/1/0694/3771/products/pen-merci-paris-citypop-limited-edition-1.jpg?v=1526145208, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-merci-paris-citypop-limited-edition-2.jpg?v=1526145210",38611149697,"Merci, Paris",SG66,0,Title,,,"Default Title",,,
9142119809,Pens,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens","dolce vita,hall-of-fame",Rosalia,"A marbled pink barrel with light pink crystals, finished in silver hardware. ",Pens,rosalia-marble-signature-crystal-pen,2017-04-06T18:59:38Z,,https://cdn.shopify.com/s/files/1/0694/3771/products/pen-rosalia-dolce-vita-limited-edition-1.jpg?v=1518129077,32749063745,Rosalia,MB04,0,Title,,,Default,,,
1941559279670,Pens,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,Madeleine,"Madeleine is a satin rose gold finish with petite aurora glass crystals.",Pens,madeleine,2019-01-16T17:41:34Z,,"https://cdn.shopify.com/s/files/1/0694/3771/products/pen-madeleine-1.jpg?v=1548085212, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-madeleine-2.jpg?v=1548085212",19255665262646,Madeleine,SA04,0,Title,,,"Default Title",,,
7078239489,Pens,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,"Latte Love","Treat yourself to this delicious treat. Inspired by a latte from your favorite coffee shop, this pen features a frosty brown barrel, topped with an ombré blend of brown, gold, nude, and clear crystals. It's topped with a Preciosa smoked topaz crystal on top. ",Pens,latte-love-coffee-collection-limited-edition-crystal-pen,2016-07-21T22:21:30Z,,https://cdn.shopify.com/s/files/1/0694/3771/products/pen-latte-love-coffee-shop-limited-edition-1.jpg?v=1518129009,22251958209,"Latte Love",AG13,0,Title,,,Default,,,
10222410561,Pens,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,"National Breast Cancer Foundation 2018","100% of the proceeds of this Sparkle for a Cause pen will be donated to the National Breast Cancer Foundation. Read more about this wonderful organization on their website.
All pens come with smooth black ink. The ballpoint ink cartridge is replaceable, and we'll send an extra standard ballpoint ink refill with each pen.",Pens,sparkle-for-a-cause-national-breast-cancer-foundation-2018,2017-10-18T22:24:46Z,,"https://cdn.shopify.com/s/files/1/0694/3771/products/pen-national-breast-cancer-foundation-2018-sparkle-for-a-cause-limited-edition-1.jpg?v=1530414608, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-national-breast-cancer-foundation-2018-sparkle-for-a-cause-limited-edition-2.jpg?v=1530414608",38613638785,"National Breast Cancer Foundation 2018",SFC05,0,Title,,,"Default Title",,,
8671049473,Pens,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,"Villabeautifful III","This aurora explosion features a nude barrel topped with a blend of aurora, amethyst, and peach crystals. A peach aurora crystal tops of the pretty pen.",Pens,villabeautifful-iii-designer-crystal-pen,2017-01-16T21:17:33Z,,"https://cdn.shopify.com/s/files/1/0694/3771/products/pen-villabeautifful-3-designer-limited-edition-1.jpg?v=1518129039, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-villabeautifful-3-designer-limited-edition-2.jpg?v=1518129040",29460315393,"Villabeautifful III",DC22,0,Title,,,"Default Title",,,
753766924408,Pens,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens","hall-of-fame,Pippin Loves Fiona",Fiona,"Fiona has a flamingo pink barrel with black crystals, finished with black chrome and a jet black gem on top.
Fiona is part of the Pippin Loves Fiona Collection.",Pens,fiona,2018-04-18T00:51:29Z,,"https://cdn.shopify.com/s/files/1/0694/3771/products/pen-fiona-1.jpg?v=1621363329, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-fiona-2.jpg?v=1627405031",8118924738680,Fiona,PF12,0,Title,,,"Default Title",,,
10324510977,Pens,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,"Tokyo Nights","A blend of crystals in bright shades of blue, pink, yellow, and purple on a black chrome barrel, topped with an iridescent pink and blue aurora crystal and finished with black hardware.",Pens,tokyo-nights,2017-10-18T18:03:25Z,,https://cdn.shopify.com/s/files/1/0694/3771/products/pen-tokyo-nights-citypop-limited-edition-1.jpg?v=1526145224,38611268609,"Tokyo Nights",SG68,0,Title,,,"Default Title",,,
